season,player_id,player_name,team,roster_status,profile_url,source_note
2026,0000007276,伍立辰,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000007276,CPBL 官方球員點將錄
2026,0000006176,余謙,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000006176,CPBL 官方球員點將錄
2026,0000007280,劉亦智,中信兄弟,合約所屬球員（二軍）,https://cpbl.com.tw/team/person?acnt=0000007280,CPBL 官方球員點將錄
2026,0000006221,劉貴元,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000006221,CPBL 官方球員點將錄
2026,0000005604,勝騎士,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000005604,CPBL 官方球員點將錄
2026,0000004625,吳俊偉,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000004625,CPBL 官方球員點將錄
2026,0000007586,吳瑞璁,中信兄弟,自主培訓或尚未註冊（二軍）,https://cpbl.com.tw/team/person?acnt=0000007586,CPBL 官方球員點將錄
2026,0000003639,呂彥青,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000003639,CPBL 官方球員點將錄
2026,0000007623,呂昱廷,中信兄弟,合約所屬球員（二軍）,https://cpbl.com.tw/team/person?acnt=0000007623,CPBL 官方球員點將錄
2026,0000006225,宋晟睿,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000006225,CPBL 官方球員點將錄
2026,0000005571,岳政華,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000005571,CPBL 官方球員點將錄
2026,0000002291,岳東華,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000002291,CPBL 官方球員點將錄
2026,0000006730,張仁瑋,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000006730,CPBL 官方球員點將錄
2026,0000007085,張士綸,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000007085,CPBL 官方球員點將錄
2026,0000003183,張志豪,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000003183,CPBL 官方球員點將錄
2026,0000006876,張祖恩,中信兄弟,合約所屬球員（二軍）,https://cpbl.com.tw/team/person?acnt=0000006876,CPBL 官方球員點將錄
2026,0000007088,徐博瑋,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000007088,CPBL 官方球員點將錄
2026,0000007626,徐磊,中信兄弟,合約所屬球員（二軍）,https://cpbl.com.tw/team/person?acnt=0000007626,CPBL 官方球員點將錄
2026,0000007284,徐紹予,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000007284,CPBL 官方球員點將錄
2026,0000006006,德保拉,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000006006,CPBL 官方球員點將錄
2026,0000007792,施季定華,中信兄弟,合約所屬球員（二軍）,https://cpbl.com.tw/team/person?acnt=0000007792,CPBL 官方球員點將錄
2026,0000006923,曾品洋,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000006923,CPBL 官方球員點將錄
2026,0000005569,曾頌恩,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000005569,CPBL 官方球員點將錄
2026,0000007286,朱宏樺,中信兄弟,合約所屬球員（二軍）,https://cpbl.com.tw/team/person?acnt=0000007286,CPBL 官方球員點將錄
2026,0000003331,李振昌,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000003331,CPBL 官方球員點將錄
2026,0000005656,李聖裕,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000005656,CPBL 官方球員點將錄
2026,0000007827,杰克,中信兄弟,合約所屬球員（二軍）,https://cpbl.com.tw/team/person?acnt=0000007827,CPBL 官方球員點將錄
2026,0000006224,林吳晉瑋,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000006224,CPBL 官方球員點將錄
2026,0000007285,林展樟,中信兄弟,合約所屬球員（二軍）,https://cpbl.com.tw/team/person?acnt=0000007285,CPBL 官方球員點將錄
2026,0000005342,林志綱,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000005342,CPBL 官方球員點將錄
2026,0000007049,林暉盛,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000007049,CPBL 官方球員點將錄
2026,0000005567,林瑞鈞,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000005567,CPBL 官方球員點將錄
2026,0000007086,楊祥禾,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000007086,CPBL 官方球員點將錄
2026,0000004636,江坤宇,中信兄弟,現役,https://cpbl.com.tw/team/person?acnt=0000004636,CPBL 官方球員點將錄
