snapshot_id,captured_at,season,player_id,player_name,team,player_type,role_or_position,pa,ab,hits,home_runs,walks,strikeouts,batting_average,obp,slg,ops,iso,bb_rate,k_rate,hr_rate,bb_k_ratio,contact_score,power_score,discipline_score,hitter_value_score,innings_pitched,earned_runs,hits_allowed,home_runs_allowed,era,whip,k_bb_ratio,hr_allowed_rate,run_prevention_score,strikeout_score,command_score,pitcher_value_score,player_value_score
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000001474,蘇智傑,統一7-ELEVEn獅,打者,野手,273.0,252.0,66.0,8.0,15,30,0.262,0.308,0.425,0.733,0.163,0.0549,0.1099,0.0293,0.6,26.200000000000003,38.8,47.0,36.5,,,,,,,,,,,,,36.5
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000006223,林子豪,統一7-ELEVEn獅,打者,野手,227.0,211.0,56.0,2.0,14,34,0.265,0.313,0.36,0.673,0.095,0.0617,0.1498,0.0088,0.44,26.5,19.5,45.3,31.1,,,,,,,,,,,,,31.1
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000000929,王威晨,中信兄弟,打者,野手,252.0,231.0,61.0,1.0,17,25,0.264,0.317,0.338,0.655,0.074,0.0675,0.0992,0.004,0.76,26.4,14.2,51.3,30.6,,,,,,,,,,,,,30.6
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000001618,林子偉,樂天桃猿,打者,野手,274.0,253.0,64.0,3.0,13,33,0.253,0.293,0.344,0.637,0.091,0.0474,0.1204,0.0109,0.45,25.3,19.6,43.8,29.9,,,,,,,,,,,,,29.9
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000005340,王博玄,台鋼雄鷹,打者,野手,241.0,221.0,69.0,1.0,11,43,0.312,0.349,0.353,0.702,0.041,0.0456,0.1784,0.0041,0.3,31.2,8.5,40.0,29.7,,,,,,,,,,,,,29.7
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000002285,高宇杰,中信兄弟,打者,野手,222.0,195.0,53.0,0.0,17,33,0.272,0.33,0.282,0.612,0.01,0.0766,0.1486,0.0,0.55,27.200000000000003,1.7,49.1,26.9,,,,,,,,,,,,,26.9
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000005531,邱智呈,統一7-ELEVEn獅,打者,野手,241.0,201.0,51.0,3.0,36,33,0.254,0.378,0.343,0.721,0.089,0.1494,0.1369,0.0124,1.21,25.4,19.9,69.2,35.7,,,,,,,,,,,,,35.7
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000006235,林政華,樂天桃猿,打者,野手,197.0,167.0,41.0,2.0,15,34,0.246,0.321,0.311,0.632,0.065,0.0761,0.1726,0.0102,0.56,24.6,14.9,48.3,29.4,,,,,,,,,,,,,29.4
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000000743,陳子豪,味全龍,打者,野手,237.0,212.0,39.0,3.0,21,46,0.184,0.262,0.278,0.54,0.094,0.0886,0.1941,0.0127,0.5,18.4,20.8,49.2,27.4,,,,,,,,,,,,,27.4
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000005571,岳政華,中信兄弟,打者,野手,248.0,214.0,48.0,3.0,20,49,0.224,0.297,0.322,0.619,0.098,0.0806,0.1976,0.0121,0.47,22.4,21.3,47.3,29.8,,,,,,,,,,,,,29.8
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000006216,王順和,味全龍,打者,野手,219.0,189.0,54.0,3.0,21,57,0.286,0.372,0.413,0.785,0.127,0.0959,0.2603,0.0137,0.47,28.6,26.8,47.9,35.9,,,,,,,,,,,,,35.9
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000006730,張仁瑋,中信兄弟,打者,野手,252.0,233.0,76.0,3.0,14,28,0.326,0.36,0.425,0.785,0.099,0.0556,0.1111,0.0119,0.5,32.6,21.4,46.1,35.4,,,,,,,,,,,,,35.4
