season,player_name,team,role,innings_pitched,earned_runs,hits_allowed,walks,strikeouts,home_runs_allowed,era,whip,k_bb_ratio,k_rate,bb_rate,hr_allowed_rate,source_note,player_id,run_prevention_score,strikeout_score,command_score,pitcher_value_score,player_value_score,player_type
2026,錢可倫,中信兄弟,投手,10.0,9,14,4,7,0,8.1,1.8,1.75,0.14,0.08,0.0,CPBL 官方全記錄查詢,0000007622,86.9,28.0,51.7,61.6,61.6,投手
2026,王偉軒,富邦悍將,投手,16.333,3,12,5,16,2,1.65,1.04,3.2,0.2424,0.0758,0.0303,CPBL 官方全記錄查詢,0000007568,94.0,48.5,60.2,72.5,72.5,投手
2026,張瑞麟,富邦悍將,投手,9.667,6,10,7,8,0,5.59,1.76,1.14,0.1633,0.1429,0.0,CPBL 官方全記錄查詢,0000000938,88.4,32.7,42.0,60.6,60.6,投手
2026,許育銘,台鋼雄鷹,投手,11.667,4,10,8,8,1,3.09,1.54,1.0,0.1509,0.1509,0.0189,CPBL 官方全記錄查詢,0000006767,90.7,30.2,40.5,60.5,60.5,投手
2026,陳品宏,富邦悍將,投手,41.0,22,44,19,27,3,4.83,1.54,1.42,0.1429,0.1005,0.0159,CPBL 官方全記錄查詢,0000007299,89.8,28.6,47.8,61.9,61.9,投手
2026,游竣宥,中信兄弟,投手,36.333,11,42,17,14,1,2.72,1.62,0.82,0.0875,0.1062,0.0063,CPBL 官方全記錄查詢,0000007281,90.5,17.5,43.9,58.3,58.3,投手
2026,謝榮豪,中信兄弟,投手,9.667,8,10,7,3,3,7.45,1.76,0.43,0.0638,0.1489,0.0638,CPBL 官方全記錄查詢,0000003506,87.4,12.8,37.5,53.8,53.8,投手
2026,劉軒荅,統一7-ELEVEn獅,投手,9.0,2,9,3,3,0,2.0,1.33,1.0,0.0732,0.0732,0.0,CPBL 官方全記錄查詢,0000004637,92.3,14.6,48.2,59.6,59.6,投手
2026,菲力士,中信兄弟,投手,62.333,27,63,31,48,3,3.9,1.51,1.55,0.1739,0.1123,0.0109,CPBL 官方全記錄查詢,0000007560,90.5,34.8,47.4,63.6,63.6,投手
2026,陳冠穎,中信兄弟,投手,8.667,1,5,4,7,0,1.04,1.04,1.75,0.2059,0.1176,0.0,CPBL 官方全記錄查詢,0000007283,94.3,41.2,48.0,67.1,67.1,投手
2026,阿部雄大,富邦悍將,投手,50.667,25,47,20,41,3,4.44,1.32,2.05,0.1916,0.0935,0.014,CPBL 官方全記錄查詢,PIT277101C,91.1,38.3,52.0,66.2,66.2,投手
2026,胡智爲,統一7-ELEVEn獅,投手,38.667,33,57,13,21,5,7.68,1.81,1.62,0.1154,0.0714,0.0275,CPBL 官方全記錄查詢,0000001719,87.0,23.1,51.9,60.5,60.5,投手
2026,伍祐城,台鋼雄鷹,投手,10.667,3,9,6,5,3,2.53,1.41,0.83,0.1111,0.1333,0.0667,CPBL 官方全記錄查詢,0000006921,91.7,22.2,41.3,59.2,59.2,投手
2026,賴智垣,台鋼雄鷹,投手,8.0,3,6,11,5,0,3.38,2.13,0.45,0.119,0.2619,0.0,CPBL 官方全記錄查詢,0000002272,87.6,23.8,26.3,53.3,53.3,投手
2026,陳正毅,台鋼雄鷹,投手,27.0,14,39,18,16,0,4.67,2.11,0.89,0.1159,0.1304,0.0,CPBL 官方全記錄查詢,0000006771,87.1,23.2,41.9,57.6,57.6,投手
2026,麥斯威尼,樂天桃猿,投手,44.333,25,53,24,21,4,5.08,1.74,0.88,0.0991,0.1132,0.0189,CPBL 官方全記錄查詢,0000007789,88.7,19.8,43.6,57.9,57.9,投手
2026,張鈞守,味全龍,投手,8.667,0,3,7,7,0,0.0,1.15,1.0,0.2121,0.2121,0.0,CPBL 官方全記錄查詢,0000006723,94.3,42.4,34.3,63.3,63.3,投手
2026,黃暐傑,味全龍,投手,18.667,6,22,5,8,0,2.89,1.45,1.6,0.0964,0.0602,0.0,CPBL 官方全記錄查詢,0000007581,91.3,19.3,52.9,61.8,61.8,投手
2026,郭郁政,味全龍,投手,31.333,17,40,2,10,5,4.88,1.34,5.0,0.0741,0.0148,0.037,CPBL 官方全記錄查詢,0000005541,90.8,14.8,76.3,67.4,67.4,投手
2026,林家勝,富邦悍將,投手,9.0,0,4,3,10,0,0.0,0.78,3.33,0.3125,0.0938,0.0,CPBL 官方全記錄查詢,0000007090,96.1,62.5,59.1,76.6,76.6,投手
2026,陳柏豪,樂天桃猿,投手,6.667,6,13,3,6,1,8.1,2.4,2.0,0.1765,0.0882,0.0294,CPBL 官方全記錄查詢,0000000779,83.9,35.3,52.3,62.3,62.3,投手
2026,郭俊麟,統一7-ELEVEn獅,投手,40.667,19,38,20,23,2,4.2,1.43,1.15,0.1271,0.1105,0.011,CPBL 官方全記錄查詢,0000001260,90.7,25.4,45.3,60.8,60.8,投手
2026,威戈神,富邦悍將,投手,34.0,16,39,9,24,1,4.24,1.41,2.67,0.1633,0.0612,0.0068,CPBL 官方全記錄查詢,0000007782,90.8,32.7,58.7,66.6,66.6,投手
2026,黎克,中信兄弟,投手,29.333,16,35,15,20,4,4.91,1.7,1.33,0.1471,0.1103,0.0294,CPBL 官方全記錄查詢,PIT6D45A79,89.0,29.4,46.4,61.3,61.3,投手
2026,曾仁和,味全龍,投手,34.667,11,37,11,22,2,2.86,1.38,2.0,0.1467,0.0733,0.0133,CPBL 官方全記錄查詢,0000003608,91.6,29.3,53.8,64.7,64.7,投手
2026,張誠恩,台鋼雄鷹,投手,7.0,2,4,4,1,0,2.57,1.14,0.25,0.0345,0.1379,0.0,CPBL 官方全記錄查詢,0000007069,93.0,6.9,37.6,54.9,54.9,投手
2026,廖乙忠,台鋼雄鷹,投手,10.333,7,13,1,7,1,6.1,1.35,7.0,0.1556,0.0222,0.0222,CPBL 官方全記錄查詢,0000002281,90.1,31.1,86.7,74.3,74.3,投手
2026,黃侰程,味全龍,投手,6.0,2,6,4,5,0,3.0,1.67,1.25,0.1852,0.1481,0.0,CPBL 官方全記錄查詢,0000007081,90.1,37.0,42.1,62.4,62.4,投手
2026,林柏佑,味全龍,投手,4.667,1,5,0,3,0,1.93,1.07,0.0,0.1579,0.0,0.0,CPBL 官方全記錄查詢,0000007083,93.7,31.6,50.0,65.1,65.1,投手
2026,黃宇昇,富邦悍將,投手,4.333,3,6,2,2,0,6.23,1.85,1.0,0.087,0.087,0.0,CPBL 官方全記錄查詢,0000007802,87.6,17.4,46.9,57.8,57.8,投手
2026,瑪帝斯,富邦悍將,投手,32.667,11,27,16,23,0,3.03,1.32,1.44,0.1608,0.1119,0.0,CPBL 官方全記錄查詢,0000007804,91.9,32.2,46.8,63.4,63.4,投手
2026,林子崴,統一7-ELEVEn獅,投手,6.333,0,7,0,4,0,0.0,1.11,0.0,0.1667,0.0,0.0,CPBL 官方全記錄查詢,0000002695,94.4,33.3,50.0,65.8,65.8,投手
