season,player_name,team,position,pa,ab,hits,doubles,triples,home_runs,walks,strikeouts,stolen_bases,batting_average,obp,slg,ops,iso,bb_rate,k_rate,hr_rate,bb_k_ratio,source_note,player_id,contact_score,power_score,discipline_score,hitter_value_score,player_value_score,player_type
2026,王念好,富邦悍將,野手,310,271,56,13,2,6,34,75,3,0.207,0.297,0.336,0.633,0.129,0.1097,0.2419,0.0194,0.48,CPBL 官方全記錄查詢,0000007089,20.7,46.7,51.1,35.4,35.4,打者
2026,陳子豪,味全龍,野手,317,279,53,9,2,3,32,55,2,0.19,0.281,0.269,0.55,0.079,0.1009,0.1735,0.0095,0.65,CPBL 官方全記錄查詢,0000000743,19.0,27.2,53.6,29.7,29.7,打者
2026,宋嘉翔,樂天桃猿,野手,256,229,43,2,0,2,10,47,0,0.188,0.23,0.223,0.453,0.035,0.0391,0.1836,0.0078,0.28,CPBL 官方全記錄查詢,0000006854,18.8,14.1,38.4,22.5,22.5,打者
2026,高宇杰,中信兄弟,野手,309,275,83,9,0,2,19,41,2,0.302,0.344,0.356,0.7,0.054,0.0615,0.1327,0.0065,0.51,CPBL 官方全記錄查詢,0000002285,30.2,18.6,46.5,32.5,32.5,打者
2026,王威晨,中信兄弟,野手,344,310,86,11,3,1,28,32,6,0.277,0.338,0.342,0.68,0.065,0.0814,0.093,0.0029,0.94,CPBL 官方全記錄查詢,0000000929,27.700000000000003,19.6,55.8,33.1,33.1,打者
2026,陳文杰,台鋼雄鷹,野手,377,341,92,20,3,3,25,43,7,0.27,0.327,0.372,0.699,0.102,0.0663,0.1141,0.008,0.7,CPBL 官方全記錄查詢,0000000772,27.0,32.7,49.9,35.2,35.2,打者
2026,王順和,味全龍,野手,299,259,66,6,6,3,29,77,15,0.255,0.341,0.359,0.7,0.104,0.097,0.2575,0.01,0.45,CPBL 官方全記錄查詢,0000006216,25.5,34.4,47.9,34.9,34.9,打者
2026,陳傑憲,統一7-ELEVEn獅,野手,348,294,93,8,3,5,46,33,7,0.316,0.403,0.415,0.818,0.099,0.1207,0.0948,0.0144,1.39,CPBL 官方全記錄查詢,0000001804,31.6,35.6,67.3,41.9,41.9,打者
2026,王苡丞,富邦悍將,野手,312,289,70,9,1,6,17,52,4,0.242,0.289,0.343,0.632,0.101,0.0545,0.1667,0.0192,0.38,CPBL 官方全記錄查詢,0000006736,24.2,38.9,42.8,33.3,33.3,打者
2026,陳重羽,統一7-ELEVEn獅,野手,271,229,65,10,0,0,25,42,5,0.284,0.363,0.328,0.691,0.044,0.0923,0.155,0.0,0.71,CPBL 官方全記錄查詢,0000002298,28.4,12.1,53.3,31.6,31.6,打者
